Quarter,gini_coefficient,top_5_nodes
2025-Q2,0.4322344322344324,"[('eth-bot', 0.48148148148148145), ('etan-status', 0.2962962962962963), ('nerolation', 0.25925925925925924), ('github-actions[bot]', 0.18518518518518517), ('jochem-brouwer', 0.14814814814814814)]"
2025-Q1,0.6225883624016065,"[('eth-bot', 0.6027397260273972), ('github-actions[bot]', 0.3059360730593607), ('g11tech', 0.2420091324200913), ('timbeiko', 0.182648401826484), ('SamWilsn', 0.1598173515981735)]"
2024-Q4,0.6001488137824453,"[('eth-bot', 0.6242424242424243), ('github-actions[bot]', 0.2787878787878788), ('g11tech', 0.24848484848484848), ('lightclient', 0.18181818181818182), ('abcoathup', 0.17575757575757575)]"
2024-Q3,0.571929824561403,"[('eth-bot', 0.6370967741935484), ('github-actions[bot]', 0.34677419354838707), ('lightclient', 0.27419354838709675), ('abcoathup', 0.25), ('g11tech', 0.18548387096774194)]"
2024-Q2,0.6251171195288445,"[('eth-bot', 0.5297297297297298), ('github-actions[bot]', 0.31891891891891894), ('lightclient', 0.2648648648648649), ('SamWilsn', 0.23243243243243245), ('vbuterin', 0.22162162162162163)]"
2024-Q1,0.6152780401788523,"[('eth-bot', 0.554140127388535), ('github-actions[bot]', 0.356687898089172), ('lightclient', 0.29936305732484075), ('timbeiko', 0.19745222929936307), ('abcoathup', 0.1910828025477707)]"
2023-Q4,0.5673334551211786,"[('eth-bot', 0.6687500000000001), ('github-actions[bot]', 0.42500000000000004), ('SamWilsn', 0.2625), ('g11tech', 0.15625), ('lightclient', 0.14375000000000002)]"
2023-Q3,0.6273825128392458,"[('eth-bot', 0.6082089552238806), ('github-actions[bot]', 0.3582089552238806), ('SamWilsn', 0.3208955223880597), ('Pandapip1', 0.20149253731343283), ('lightclient', 0.20149253731343283)]"
2023-Q2,0.6313978627145889,"[('eth-bot', 0.5071428571428571), ('github-actions[bot]', 0.36428571428571427), ('SamWilsn', 0.3464285714285714), ('lightclient', 0.23214285714285712), ('Pandapip1', 0.11071428571428571)]"
2023-Q1,0.6015901060070674,"[('eth-bot', 0.681159420289855), ('github-actions[bot]', 0.47826086956521735), ('Pandapip1', 0.4492753623188406), ('SamWilsn', 0.34782608695652173), ('lightclient', 0.13043478260869565)]"
2022-Q4,0.611800051800052,"[('eth-bot', 0.6649484536082474), ('Pandapip1', 0.4639175257731959), ('SamWilsn', 0.26288659793814434), ('xinbenlv', 0.2422680412371134), ('lightclient', 0.18041237113402062)]"
2022-Q3,0.6432002032278302,"[('Pandapip1', 0.6190476190476191), ('eth-bot', 0.5285714285714286), ('xinbenlv', 0.35714285714285715), ('SamWilsn', 0.30000000000000004), ('github-actions[bot]', 0.24761904761904763)]"
2022-Q2,0.6275172914517181,"[('eth-bot', 0.528169014084507), ('MicahZoltu', 0.38028169014084506), ('Pandapip1', 0.36619718309859156), ('SamWilsn', 0.2887323943661972), ('lightclient', 0.28169014084507044)]"
2022-Q1,0.6067208027992346,"[('eth-bot', 0.6052631578947368), ('MicahZoltu', 0.43421052631578944), ('lightclient', 0.3157894736842105), ('SamWilsn', 0.20394736842105263), ('axic', 0.17105263157894735)]"
2021-Q4,0.6146115627822942,"[('eth-bot', 0.6194029850746269), ('MicahZoltu', 0.3880597014925373), ('lightclient', 0.3731343283582089), ('axic', 0.21641791044776118), ('wschwab', 0.15671641791044777)]"
2021-Q3,0.6258650519031147,"[('eth-bot', 0.4915254237288136), ('MicahZoltu', 0.3813559322033898), ('lightclient', 0.3559322033898305), ('axic', 0.2796610169491525), ('alita-moore', 0.16101694915254236)]"
2021-Q2,0.6163790582041532,"[('alita-moore', 0.3178294573643411), ('MicahZoltu', 0.31007751937984496), ('lightclient', 0.3023255813953488), ('wjmelements', 0.21705426356589147), ('axic', 0.1937984496124031)]"
2021-Q1,0.6016238868517545,"[('MicahZoltu', 0.4890510948905109), ('eip-automerger', 0.27007299270072993), ('lightclient', 0.2554744525547445), ('rekmarks', 0.13138686131386862), ('github-actions[bot]', 0.11678832116788321)]"
2020-Q4,0.5996168582375485,"[('MicahZoltu', 0.5232558139534884), ('lightclient', 0.26744186046511625), ('eip-automerger', 0.20930232558139533), ('moodysalem', 0.13953488372093023), ('github-actions[bot]', 0.11627906976744186)]"
2020-Q3,0.6201749235095956,"[('MicahZoltu', 0.5307692307692308), ('lightclient', 0.3076923076923077), ('axic', 0.2846153846153846), ('eip-automerger', 0.2), ('github-actions[bot]', 0.13846153846153847)]"
2020-Q2,0.5714198435972635,"[('MicahZoltu', 0.41379310344827586), ('axic', 0.3448275862068966), ('eip-automerger', 0.25287356321839083), ('github-actions[bot]', 0.25287356321839083), ('holiman', 0.16091954022988506)]"
2020-Q1,0.5421264981606739,"[('axic', 0.21904761904761907), ('MicahZoltu', 0.1904761904761905), ('github-actions[bot]', 0.1523809523809524), ('eip-automerger', 0.14285714285714288), ('shamatar', 0.12380952380952381)]"
2019-Q4,0.5837958532695373,"[('axic', 0.40425531914893614), ('eip-automerger', 0.2553191489361702), ('fulldecent', 0.20212765957446807), ('github-actions[bot]', 0.1595744680851064), ('MicahZoltu', 0.14893617021276595)]"
2019-Q3,0.5757575757575756,"[('axic', 0.47959183673469385), ('eip-automerger', 0.24489795918367346), ('github-actions[bot]', 0.1530612244897959), ('sorpaas', 0.1530612244897959), ('loredanacirstea', 0.14285714285714285)]"
2019-Q2,0.5781332628239031,"[('axic', 0.6341463414634148), ('eip-automerger', 0.2520325203252033), ('nicksavers', 0.11382113821138212), ('sorpaas', 0.11382113821138212), ('MadeofTin', 0.11382113821138212)]"
2019-Q1,0.6112230405918686,"[('axic', 0.3088235294117647), ('nicksavers', 0.16911764705882354), ('fulldecent', 0.15441176470588236), ('Arachnid', 0.14705882352941177), ('eip-automerger', 0.13970588235294118)]"
2018-Q4,0.5701817357464017,"[('axic', 0.26515151515151514), ('eip-automerger', 0.1893939393939394), ('Arachnid', 0.17424242424242425), ('nicksavers', 0.13636363636363635), ('bitpshr', 0.12878787878787878)]"
2018-Q3,0.5861420834660722,"[('Arachnid', 0.27586206896551724), ('axic', 0.26206896551724135), ('eip-automerger', 0.21379310344827585), ('5chdn', 0.14482758620689656), ('MicahZoltu', 0.10344827586206896)]"
2018-Q2,0.5964164460597361,"[('Arachnid', 0.2669902912621359), ('eip-automerger', 0.16504854368932037), ('fulldecent', 0.16019417475728154), ('ifdefelse', 0.13592233009708737), ('5chdn', 0.11650485436893203)]"
2018-Q1,0.5836839644693778,"[('Arachnid', 0.3421052631578947), ('fulldecent', 0.2807017543859649), ('nicksavers', 0.18421052631578946), ('pirapira', 0.15789473684210525), ('jamesray1', 0.11403508771929824)]"
2017-Q4,0.5101052631578944,"[('pirapira', 0.3877551020408163), ('nicksavers', 0.36734693877551017), ('Arachnid', 0.26530612244897955), ('axic', 0.18367346938775508), ('cdetrio', 0.18367346938775508)]"
2017-Q3,0.556880232981434,"[('LogvinovLeon', 0.2716049382716049), ('Arachnid', 0.24691358024691357), ('5chdn', 0.20987654320987653), ('axic', 0.1728395061728395), ('pirapira', 0.1728395061728395)]"
2017-Q2,0.5558576051779938,"[('Arachnid', 0.6891891891891893), ('frozeman', 0.20270270270270271), ('alex-miller-0', 0.17567567567567569), ('pirapira', 0.10810810810810811), ('cdetrio', 0.10810810810810811)]"
2017-Q1,0.6019634091923248,"[('vbuterin', 0.6037735849056604), ('chriseth', 0.5094339622641509), ('axic', 0.3773584905660377), ('Arachnid', 0.20754716981132074), ('Souptacular', 0.11320754716981132)]"
2016-Q4,0.45833333333333387,"[('Souptacular', 0.9090909090909092), ('gcolvin', 0.09090909090909091), ('hatgit', 0.09090909090909091), ('taoteh1221', 0.09090909090909091), ('cdetrio', 0.09090909090909091)]"
2016-Q3,0.3333333333333333,"[('tjade273', 1.0), ('chriseth', 0.2), ('Teerasa', 0.2), ('Souptacular', 0.2), ('Arachnid', 0.2)]"
2016-Q2,0.388888888888889,"[('wighawag', 0.5454545454545454), ('Arachnid', 0.2727272727272727), ('5chdn', 0.09090909090909091), ('rolandkofler', 0.09090909090909091), ('adridadou', 0.09090909090909091)]"
2016-Q1,0.4583333333333332,"[('wanderer', 0.2857142857142857), ('chriseth', 0.14285714285714285), ('Gustav-Simonsson', 0.14285714285714285), ('axic', 0.14285714285714285), ('jonathancross', 0.14285714285714285)]"
2015-Q4,0.5206611570247933,"[('Souptacular', 0.42857142857142855), ('wanderer', 0.3333333333333333), ('fjl', 0.23809523809523808), ('ethers', 0.23809523809523808), ('chriseth', 0.14285714285714285)]"
